Genes	CTRL_1	CTRL_2	IFNG_1	IFNG_2	POMALYST_1	POMALYST_2	POMIFNG_1	POMIFNG_2
COL3A1	0.007612	0.0509845	0.040372	0.00862186	0.0334694	0.02186	0.0849181	0.00910836
COL4A1	27.163	25.5044	24.1962	20.3024	29.8166	22.7846	26.5883	20.1859
COL4A2	104.827	122.136	110.807	108.938	108.983	118.034	108.28	86.3515
COL4A2-AS1	0.128549	0	0	0	0.141305	0	0	0
COL4A3	0.0101807	0.00487066	0	0.00576567	0.00559547	0	0	0.012182
COL4A3BP	13.3403	13.139	12.8134	11.4966	10.7493	9.46509	9.56267	9.81546
COL4A4	0.00396091	0	0	0.00448639	0.0304777	0	0.0132561	0.00947907
COL4A5	0	0	0	0	0.00700945	0	0	0.0152604
COL4A6	0.0063106	0	0	0	0	0	0	0
COL5A1	0.131731	0.112041	0.119032	0.0718407	0.155529	0.163465	0.108857	0.169303
COL5A2	8.10431	8.06908	8.03238	7.89327	8.29753	6.48212	7.40084	5.68545
COL5A3	16.0799	20.9228	13.9769	17.2289	25.8283	23.8467	26.934	22.3604
COL6A1	57.4989	70.4738	66.2108	66.0238	72.1489	73.2001	75.2231	58.9697
COL6A2	35.8258	49.5693	52.392	54.118	44.1584	50.9744	47.7568	46.8927
COL6A3	0.812098	0.547972	0.307098	0.363556	0.469072	0.336991	0.371794	0.26399
COL6A4P1	0	0	0	0	0	0	0	0
COL6A4P2	0.00448358	0	0	0	0.00492849	0	0	0
COL6A5	0	0	0	0	0	0.00443175	0	0.0110808
COL6A6	0.01458	0	0.0154657	0.0165143	0	0.0279137	0.00542172	0.0174461
COL7A1	0.533129	0.407239	0.389682	0.426252	1.06865	0.617559	0.739687	0.487829
COL8A1	0	0	0	0	0	0	0.0159511	0
COL8A2	0.208957	0.281732	0.38285	0.376534	0.219251	0.245487	0.2543	0.238668
COL9A1	0	0	0	0	0	0	0	0
COL9A2	1.93862	2.37022	2.00742	1.96926	2.62146	2.6511	3.17538	2.467
COL9A3	38.9302	56.5542	40.655	53.1993	45.6019	59.0758	47.4877	47.4111
COLEC10	0	0	0	0	0	0	0	0
COLEC11	0.0387876	0.0742331	0.115398	0.0771229	0.175455	0	0.0865482	0.244448
COLEC12	0.027564	0.0395616	0	0	0.0605984	0.0923509	0.0614998	0.0329825
COLQ	0.346282	0.303648	0.367317	0.203493	0.329147	0.515948	0.417554	0.327908
COMMD1	28.294	30.6247	25.9877	29.4315	27.1119	32.4543	27.1471	52.5113
COMMD10	8.77091	6.34233	6.35634	6.52189	6.77096	5.86442	6.49821	10.6153
COMMD2	10.0878	9.41006	8.88054	8.58266	8.97489	8.65355	7.36122	10.0315
COMMD3	32.3186	34.647	35.5232	38.7045	39.7495	45.8371	40.5237	65.9416
COMMD3-BMI1	3.46463	4.6687	1.75538	2.26089	4.37855	1.97162	3.17333	3.24817
COMMD4	115.418	132.415	160.559	173.332	86.5378	138.08	106.018	144.91
COMMD5	19.1794	19.7717	21.839	24.1423	18.333	22.0088	19.8512	23.1612
COMMD6	9.08167	11.0315	8.93273	10.5961	9.95012	10.3532	9.33312	16.4294
COMMD7	27.1043	30.3757	32.4132	38.2199	26.4472	33.053	27.6886	43.3372
COMMD8	5.65202	4.69565	4.41574	5.6735	5.91525	4.7301	4.8328	7.28955
COMMD9	18.1575	22.4577	22.9863	19.6414	18.4813	19.5748	19.353	25.3883
COMP	0	0	0	0.0203961	0.019794	0	0	0.0430939
COMT	52.7771	66.4479	62.3689	74.2922	43.4489	61.6912	49.4788	60.1191
COMTD1	5.14385	6.15233	6.19519	6.67594	3.82842	6.61664	4.00492	5.77034
COPA	60.2047	54.9911	59.5238	55.9174	62.9131	59.2813	61.1972	59.4888
COPB1	63.5667	54.007	63.3266	56.3608	61.5972	56.7368	58.6391	61.3794
COPB2	69.5655	66.2383	80.7852	75.5896	70.8854	68.4523	73.826	72.6756
COPE	165.493	197.444	233.831	230.106	180.275	210.436	210.055	280.238
COPG1	100.407	107.6	138.988	121.219	112.66	113.305	120.506	131.326
COPG2	8.16271	6.92	10.9995	9.1854	9.35266	8.75559	8.09767	10.5309
COPRS	51.4269	54.555	47.6048	48.2749	46.974	50.4719	50.6955	70.2501
COPS2	31.2359	30.4762	25.1325	25.7238	26.169	22.2602	24.4839	28.4231
COPS3	20.1811	21.3021	19.7703	19.8347	17.8493	18.498	16.5574	26.3755
COPS4	20.0477	18.6531	19.7844	18.888	19.315	20.6031	18.5737	25.795
COPS5	28.672	25.794	27.5509	28.7356	30.505	31.3676	29.719	38.4877
COPS6	135.1	173.564	159.202	169.769	113.356	165.059	133.475	166.14
COPS7A	55.2563	64.0884	63.4592	68.9552	54.5659	64.9131	61.8355	70.6949
COPS7B	30.4286	32.3358	28.5611	29.3825	26.9799	30.6842	28.0708	31.0952
COPS8	57.0595	65.003	54.5175	59.1859	53.1688	62.6805	54.8946	65.1707
COPZ1	91.503	105.846	108.748	116.588	77.0462	99.8178	89.0527	113.588
COPZ2	5.63273	7.5455	7.8617	9.2678	7.10413	7.77583	7.40824	10.784
COQ10A	4.17658	4.8306	5.27334	5.82383	4.61819	4.98529	5.50851	6.98674
COQ10B	15.8253	13.8475	19.1951	18.8599	17.32	14.5342	16.7589	22.9429
COQ2	7.33951	6.48046	7.63505	7.99224	6.47917	7.37848	6.00651	7.86677
COQ3	4.90303	3.95262	3.84946	4.50402	3.14038	4.02826	3.48857	6.19023
COQ4	14.9258	22.6625	20.4147	24.431	17.7168	25.0965	20.8386	22.815
COQ5	14.1904	14.4753	16.1466	15.6836	15.1863	15.1398	16.249	18.7004
COQ6	6.01585	7.04142	7.55824	8.30179	5.90511	6.9607	6.87278	7.79183
COQ7	10.0904	10.0329	9.93507	9.63919	8.02369	7.67374	8.28182	9.45787
COQ9	25.2147	33.1215	27.0371	31.6952	31.7839	34.2116	33.021	41.8463
CORIN	0.00849678	0.00813008	0.00901292	0	0	0	0.0473943	0.0305012
CORO1A	2.0438	3.30761	2.75678	2.94369	4.02171	3.86459	4.10968	5.49498
CORO1B	71.4487	98.4907	98.9075	105.436	85.0848	104.91	96.5553	98.4538
CORO1C	104.833	105.893	83.9822	78.0516	76.6511	92.1366	77.5443	79.8138
CORO2A	0.669474	0.560509	0.403489	0.525631	0.669006	0.597167	0.653497	0.655428
CORO2B	15.1368	22.5885	6.82343	9.36046	8.23395	16.0934	7.49329	10.7539
CORO6	0.720081	0.406336	0.470044	0.690133	1.01479	0.689306	0.947493	0.552329
CORO7	11.1329	13.4223	12.0545	13.1358	13.3195	17.1393	15.0276	14.8809
CORO7-PAM16	6.41623e-09	9.53174e-07	1.43419e-13	2.6793e-09	0.126759	0.0858579	4.82925e-10	1.36805e-13
CORT	0.0662331	0.0633333	0.0659366	0.0708283	1.55389e-41	5.88465e-41	0.0709188	0.150681
COTL1	203.703	292.055	208.47	196.504	190.538	235.393	217.736	233.155
COX10	7.76747	8.28875	6.89161	6.36134	6.57032	7.58752	6.37814	6.59936
COX10-AS1	1.68019	0.915483	1.33669	1.11014	1.71866	1.51903	1.43183	0.893547
COX11	30.7447	25.5704	29.5412	30.9204	34.0086	32.4306	37.8953	34.9262
COX14	32.7303	29.5018	36.4388	41.5536	29.5994	35.9501	31.2505	55.1108
COX15	5.80073	5.72774	5.25779	4.7893	5.3526	5.03131	4.71351	5.70582
COX16	9.81162	9.86724	11.1478	12.5525	8.31992	9.79037	9.44908	15.3427
COX17	114.257	128.919	140.529	157.015	73.1514	114.471	92.7423	130.103
COX18	2.79767	2.57878	2.75988	2.21818	2.47048	2.15141	2.4136	2.39914
COX19	3.18678	3.29582	3.07968	3.09391	3.54077	3.46171	3.46887	3.36099
COX20	12.0247	12.5006	11.5988	9.87777	16.6837	12.6185	14.6119	21.7532
COX4I1	376.738	466.163	440.932	432.499	310.795	350.225	357.364	551.465
COX4I2	0	0	0	0	0	0	0	0
COX5A	324.688	419.731	376.185	407.807	275.12	399.17	325.087	442.766
COX5B	446.151	598.373	573.504	628.406	402.553	501.947	434.618	710.31
COX6A1	389.868	398.623	479.886	533.357	364.795	477.244	426.63	655.391
COX6A2	0	0	0	0	0	0	0	0
COX6B1	605.263	696.894	766.827	788.915	545.471	736.749	663.39	982.668
COX6B2	0	0	0.0887958	0.0948164	0	0	0.0311288	0.0667777
COX6C	93.156	115.495	98.876	114.477	94.8454	103.217	89.3623	134.481
COX7A1	0	0	0	0	0	0.071727	0	0
COX7A2	130.757	136.866	151.914	175.976	116.335	145.051	123.062	220.472
COX7A2L	86.839	84.3017	89.0467	95.0332	72.4116	78.2403	80.0411	115.209
COX7B	680.018	595.68	557.768	686.482	451.464	639.885	397.78	997.778
COX7B2	0	0	0	0	0	0	0	0
COX7C	401.525	378.65	529.024	499.743	365.397	414.242	393.217	649.056
COX8A	810.708	981.473	1061.76	1112.17	774.151	970.246	893.383	1159.33
COX8C	0	0	0	0	0	0	0	0
CP	0.0632329	0.0562398	0.0191641	0.0133388	0.059578	0.0682652	0.0351158	0.0756631
CPA1	0	0	0	0	0	0	0	0
CPA2	0.618182	0.765475	1.46576	1.11207	0.239832	0.939857	0.3651	0.826727
CPA3	0	0	0	0	0	0	0	0
CPA4	0.0321638	0.0153859	0.0170567	0.0182132	0.0176755	0	0.0179384	0.0384866
CPA5	0	0	0	0	0	0	0	0
CPA6	0	0	0	0	0	0	0	0
CPAMD8	0	0	0.0221291	0	0	0.00665675	0.0155154	0.0249629
CPB1	0.064998	0.0621929	0.0344732	0	0.0357239	0.12444	0.0362553	0.0388876
CPB2	0.208285	0.149472	0.110469	0.0884692	0.171715	0.0996917	0.11618	0.186922
CPB2-AS1	0.79809	0.567176	0.535665	0.284035	0.937209	0.51641	1.00637	0.740983
CPD	12.3463	9.48734	10.1994	8.55939	16.104	11.0922	13.9102	10.2103
CPE	0	0	0	0.0206185	0.0200099	0.0174255	0.0203075	0.0217819
CPEB1	6.80056	7.68479	6.74232	6.27275	5.76362	6.06991	5.25055	5.48568
CPEB2	11.8684	9.08269	9.41924	9.00505	13.6579	9.02636	10.2507	6.77832
CPEB3	0.3143	0.281121	0.530253	0.357155	0.535814	0.276704	0.404671	0.246234
CPEB4	2.78866	2.02792	2.09036	1.93127	3.31061	2.0644	2.62507	1.7161
CPED1	0.276659	0.20603	0.919143	0.669324	0.321033	0.235452	0.37709	0.35952
CPLX1	11.4357	15.1507	11.3972	10.367	6.49247	12.5309	7.19654	7.04237
CPLX2	0.00899598	0.00860774	0.00954244	0	0	0.025852	0	0
CPLX3	0.224468	0.257737	0.142862	0.127124	0.0986969	0.214875	0.125206	0.295453
CPLX4	0	0	0	0	0	0	0	0
CPM	2.89967	2.58254	1.38851	1.07316	2.25474	2.16002	2.39212	2.4166
CPN1	8.56935	8.1243	5.69856	6.41145	4.06171	6.4471	4.47294	4.70363
CPN2	0	0.0136863	0	0	0	0	0	0
CPNE1	81.2709	91.366	102.102	112.905	68.2946	93.4986	77.0601	95.8174
CPNE2	12.8906	18.9876	12.3422	13.9915	12.1549	18.1186	13.3804	14.7571
CPNE3	19.9664	16.5337	16.4412	13.6514	25.9744	17.98	22.1392	22.2269
CPNE4	0	0	0	0	0	0	0.0190684	0
CPNE5	0.218858	0.369552	0.45065	0.262476	0.226424	0.2588	0.201068	0.0770239
CPNE6	0.022472	0.0645065	0	0	0.0247019	0	0.0250693	0
CPNE7	2.39068	1.90126	1.46484	1.64649	1.01865	1.80547	0.891909	0.587045
CPNE8	4.38546	3.48498	3.81084	3.64827	4.13975	3.51022	3.67616	3.61695
CPNE9	0	0.0210418	0.0233267	0	0.0725192	0.063153	0.0490652	0
CPO	0	0	0	0.0924459	0	0	0.0455257	0.0488311
CPOX	32.0747	41.0545	28.3383	29.8758	34.5833	33.9798	33.7291	31.1559
CPPED1	7.98077	8.46555	16.1506	14.7915	7.82884	6.66276	7.60251	8.0607
CPQ	17.8854	21.9145	25.6438	27.3826	18.4199	20.8899	19.7919	25.107
CPS1	3.43199	2.56508	3.9651	3.61495	2.95626	2.45749	2.7257	2.32468
CPS1-IT1	0	0	0	0	0	0	0.0215098	0
CPSF1	40.8607	41.2624	37.3871	43.591	40.5188	49.9445	38.0526	28.8617
CPSF2	16.827	14.4946	14.9897	12.6812	15.0791	13.2662	13.7445	13.8618
CPSF3	42.5725	41.0905	41.7515	34.8668	36.8172	38.176	36.5778	43.7434
CPSF3L	34.3149	39.0144	35.9663	39.3364	33.1914	40.4803	36.4786	37.1297
CPSF4	20.4325	22.7501	22.1071	26.7993	21.4299	30.2108	25.053	26.5188
CPSF4L	0	0	0.101263	0	0	0	0	0
CPSF6	23.7209	24.4191	20.1401	20.7528	20.3125	21.5546	20.2229	18.6
CPSF7	52.3205	49.5162	45.3892	45.3175	44.4986	46.5129	42.4604	37.173
CPT1A	10.7559	10.6396	13.6297	13.2795	14.0191	13.5765	14.9703	13.6623
CPT1B	1.89402	1.37479	2.31428	2.28703	2.29391	1.34507	1.88503	1.14965
CPT1C	1.59758	1.85834	1.96045	2.30626	1.42899	1.7692	1.57312	2.56809
CPT2	10.4248	11.6062	12.9851	12.0136	13.3641	13.3102	14.0929	14.581
CPVL	17.9422	20.1152	18.5973	21.5669	21.1288	24.2319	22.9846	25.8747
CPXCR1	0	0	0	0	0	0	0	0
CPXM1	28.3682	33.1853	30.5889	31.6369	24.6456	30.1287	25.5656	23.911
CPXM2	2.80684	3.55171	4.27766	3.75018	2.8461	3.4436	2.65838	2.82398
CPZ	0	0.0165744	0	0	0.0218214	0.0950654	0.0872145	0.0237539
CR1	0	0	0	0	0	0	0	0
CR1L	0	0	0.026399	0.112756	0	0.0238236	0	0.0297795
CR2	0	0	0	0	0	0	0	0
CRABP1	1.54462	1.6891	1.7945	2.99922	1.05108	1.68984	1.96932	2.20031
CRABP2	0.933145	1.94282	2.05123	1.53322	0.690837	1.15695	0.712287	1.67758
CRADD	7.00578	5.18718	6.14856	6.37651	6.46332	5.58864	6.00121	8.78216
CRAMP1L	6.95125	5.07596	6.14078	5.79539	7.78888	6.72112	7.08846	4.10092
CRAT	4.23478	5.05847	5.90247	5.04707	7.93446	6.52096	9.29288	9.58171
CRB1	0.0126342	0	0	0	0.0277762	0.0362832	0	0.0198218
CRB2	0	0.00708034	0.00784918	0	0	0	0	0
CRB3	0.0745103	0.130876	0.156272	0.0843953	0.16381	0.158615	0.0508627	0.109117
CRBN	6.5931	6.17858	6.5259	6.60394	7.52668	6.05169	6.56104	9.12592
CRCP	18.3994	20.0658	16.5709	18.3479	16.5114	18.1324	16.4194	14.8487
CRCT1	0	0	0	0	0	0	0	0
CREB1	4.15635	3.52617	3.99565	4.00888	4.26879	3.03232	3.24616	3.03087
CREB3	15.9139	18.603	22.3504	23.0274	22.9714	22.9805	26.038	32.0027
CREB3L1	0.0983599	0.156858	0.121724	0.315659	0.234261	0.141234	0.109729	0.0784636
CREB3L2	28.3517	23.0026	21.3068	18.1222	32.3675	24.7652	28.63	21.9019
CREB3L3	0.017538	0.033566	0	0.0198647	0.038561	0	0.0195651	0.120464
CREB3L4	2.86581	2.6578	4.08051	4.09853	3.46781	3.31612	4.36679	4.88876
CREB5	0.206302	0.152413	0.180229	0.207915	0.256806	0.203292	0.235761	0.266842
CREBBP	14.5906	10.8393	12.026	10.3811	14.3743	12.5909	13.2084	8.66704
CREBL2	11.5377	11.8454	13.8438	12.7462	14.2961	9.47614	12.0335	11.5593
CREBRF	1.20578	0.644383	1.76676	1.32659	1.49695	1.21021	1.34141	0.65988
CREBZF	14.8047	9.55988	10.307	10.7552	18.1941	8.82148	12.8087	6.87586
CREG1	25.538	28.4445	29.0985	31.8287	40.4425	34.6006	41.0192	45.6773
CREG2	0	0.0352665	0.013032	0.0139156	0.0405145	0.0117606	0.0137057	0.0147008
CRELD1	10.8461	11.829	13.0708	13.4774	8.84318	10.6791	10.0319	12.4809
CRELD2	56.274	81.8624	76.9518	83.5688	52.1148	72.7378	59.9811	70.3679
CREM	43.6834	39.9427	53.4068	50.7275	43.1373	34.8779	35.1796	52.7542
CRH	0	0	0	0	0	0	0	0
CRHBP	0.0994871	0.0475968	0.0263826	0.0563429	0.109359	0.0952352	0.0832395	0.119044
CRHR1	4.50111e-24	0.0186145	0.0208761	7.2417e-40	5.45503e-26	0.0409756	0.0632588	0.0859906
CRHR1-IT1	0.934494	0.257185	0.804809	0.683879	1.26691	0.463123	0.879546	1.32534
CRHR2	0	0	0	0	0.0164465	0	0	0.017903
CRIM1	0.505983	0.512625	0.678791	0.564682	0.907901	0.705168	0.879901	0.596544
CRIP1	1.7582	5.65873	3.73001	3.43979	0.878487	2.7541	3.03128	3.82514
CRIP2	36.5693	59.9904	46.6788	56.9113	40.5034	55.618	52.2077	66.6834
CRIP3	0.054979	0	0.116637	0	0.120869	0.0526293	0.0613336	0.131573
CRIPAK	1.43488	0.700117	0.947498	0.774951	1.25346	0.873255	1.09189	0.841419
CRIPT	6.68195	7.36848	7.01244	6.84379	9.7673	5.78395	8.48517	12.5886
CRISP1	0	0	0	0	0	0	0	0
CRISP2	0	0	0	0	0	0	0	0
CRISP3	0	0	0	0	0	0	0	0
CRISPLD1	7.10035	6.57898	8.1429	8.44058	6.03352	6.14245	6.00342	4.89667
CRISPLD2	0.08266	0.210914	0.194847	0.0936263	0.383642	0.123087	0.348364	0.362667
CRK	26.1882	21.7872	24.0746	24.8145	29.2063	26.119	26.1307	25.1262
CRKL	28.1802	25.3699	26.0325	25.0383	26.692	27.4798	26.037	19.7091
CRLF1	0.787652	0.850906	0.673789	1.38139	1.06132	1.14315	1.0771	1.27692
CRLF2	0	0	0	0	0	0	0	0
CRLF3	4.4139	4.32229	4.2749	3.91264	4.00851	3.37738	3.31685	3.70947
CRLS1	16.7091	16.8316	16.8231	15.9908	15.6842	15.5833	18.2925	20.9844
CRMP1	8.46723	9.93838	6.83743	6.70145	7.52685	10.5564	7.45991	7.74306
CRNDE	4.21799	4.56405	5.27736	5.30344	5.40981	2.50276	3.81641	5.64077
CRNKL1	10.8234	9.86092	10.6978	9.5772	11.8341	10.4801	11.4647	13.0887
CRNN	0	0	0	0	0	0	0	0
CROCC	16.7437	14.4172	11.1443	11.9422	12.6103	14.3877	11.352	8.33617
CROCCP2	14.0163	12.5638	12.2147	13.8692	15.8081	12.5444	13.5728	11.4408
CROCCP3	0.755888	0.283341	0.553823	0.432498	0.907989	0.3879	0.599841	0.186491
CROT	2.19345	2.00724	2.17688	2.28878	3.74016	2.54478	3.05776	4.3154
CRP	0	0	0	0	0	0	0	0
CRSP8P	0.105918	0.0337823	0.0374507	0.03999	0.0388095	0	0.11816	0.168986
CRTAC1	1.01783	1.49597	1.35922	1.515	1.3049	1.67695	1.02987	1.37502
CRTAM	0.0730131	0	0.0193621	0	0	0	0.020363	0
CRTAP	68.0434	80.842	71.6938	73.8848	64.1632	77.809	70.5511	77.1211
CRTC1	10.602	13.7579	10.2984	10.9316	11.8737	12.5747	11.5185	10.0536
CRTC2	19.0437	24.9005	24.1365	26.5137	22.0295	24.8332	23.6337	25.4083
CRTC3	22.1251	20.6119	27.7819	27.7137	19.5762	20.8342	18.2914	15.2691
CRX	0	0	0	0	0	0	0	0
CRY1	7.52425	6.16209	5.40401	5.91838	5.97342	6.27733	5.66881	4.93934
CRY2	6.81986	6.27514	6.36861	5.89904	9.09116	7.38664	8.32735	6.77432
CRYAA	0	0.0432317	0.0479261	0	0	0	0	0
CRYAB	2.85133	7.11006	3.57445	4.20828	1.99454	2.89489	2.1206	3.20507
CRYBA1	0	0	0	0	0	0	0	0
CRYBA2	0.0864024	0	0	0	0	0.0827097	0	0
CRYBA4	0	0	0	0.155489	0	0	0	0
CRYBB1	0	0	0	0	0	0	0	0
CRYBB2	0	0	0	0	0	0	0	0
CRYBB2P1	15.1413	17.491	15.8749	16.2664	15.8444	15.421	16.965	16.6484
CRYBB3	0.126046	0.18091	0.267406	0.285537	0.207831	0.120659	0.140615	0
CRYBG3	6.07855	3.36153	4.30795	3.56535	6.48927	4.29211	5.09539	3.4295
CRYGA	0	0	0	0	0	0	0	0
CRYGB	0	0	0	0	0	0	0	0
CRYGC	0	0.0954379	0	0	0	0	0	0
CRYGD	0	0	0	0	0	0	0	0
CRYGN	0	0	0	0	0.0888458	0	0	0.0967139
CRYGS	0.912471	0.249455	0.345678	0.369116	0.788084	0.623909	0.508968	1.09184
CRYL1	4.65502	6.01908	5.8386	6.73323	3.73399	4.48618	4.52638	6.17227
CRYM	0	0.0599557	0.0422954	0.0709725	0.131493	0.0599819	0.139837	0.14999
CRYM-AS1	0.482262	0.295328	0.122774	0.218497	0.254457	0.276991	0.150641	0.0923304
CRYZ	5.05506	3.46963	3.33324	2.80646	4.3593	2.5457	4.42149	4.04988
CRYZL1	5.99823	5.84278	5.2735	5.35563	5.94004	4.91422	5.78726	7.56532
CS	101.16	103.599	85.7232	85.5597	102.002	115.796	101.52	103.973
CSAD	2.00607	1.44007	1.90267	1.67153	3.19022	1.82589	2.59211	2.43241
CSAG1	83.8695	114.022	104.161	118.085	83.9906	97.3508	93.7894	152.002
CSAG2	0	0	0	0	0	0	0	0
CSAG3	0	0	0	0	0	0	0	0
CSAG4	4.26789	5.25047	6.30566	3.97086	4.18875	4.88799	4.59114	7.20433
CSDA	70.4607	94.0926	82.5438	73.3476	45.8119	60.5188	51.2561	51.8359
CSDAP1	0	0.0500845	0.0277615	0	0.0575376	0.0501064	0	0
CSDC2	0.0173972	0.0332927	0	0	0	0	0.0194079	0
CSDE1	168.065	163.696	151.262	131.515	141.034	134.484	138.083	142.306
CSE1L	159.929	148.942	128.683	118.87	129.12	126.119	128.279	140.009
CSF1	6.33136	7.6114	60.2416	51.5484	4.58713	5.4529	5.5274	4.67926
CSF1R	0.0106494	0	0.0225926	0.0120622	0	0.0101943	0	0.0127429
CSF2	0	0	0	0	0	0	0	0
CSF2RA	0	0	0	0	0	0	0	0
CSF2RB	0	0.0165981	0	0	0	0	0.00967587	0
CSF3	0	0	0	0	0.0352246	0	0	0
CSF3R	0.050358	0.0481847	0.076933	0.180766	0	0.0555419	0.0161813	0
CSGALNACT1	1.00502	1.06871	5.22046	4.5789	2.80749	1.75985	2.96773	2.29953
CSGALNACT2	4.62618	3.49576	4.51126	3.58723	5.24687	3.64888	4.8328	3.92499
CSH1	0	0	0	0	0	0	0	0
CSH2	0	0	0	0	0	0	0	0
CSHL1	0	0	0	0	0	0	0	0
CSK	149.145	204.147	145.519	154.979	108.864	170.124	124.14	131.941
CSMD1	1.33913	1.12083	1.70698	1.54577	0.543801	0.67497	0.583608	0.425259
CSMD2	0	0	0	0	0	0	0	0
CSMD3	0	0.0154678	0	0	0	0	0	0
CSN1S1	0	0	0	0	0	0	0	0
CSN1S2AP	0	0	0	0	0	0	0	0
CSN1S2BP	0	0	0	0	0	0	0	0
CSN2	0	0	0	0	0	0	0	0
CSN3	0	0	0	0	0	0	0	0
CSNK1A1	59.7905	51.1967	57.1462	55.3716	58.4983	53.2657	56.516	50.7594
CSNK1A1L	0	0	0	0	0	0	0	0
CSNK1A1P1	0.0273885	0	0	0	0	0	0	0
CSNK1D	50.3546	54.981	58.7043	59.1155	55.5765	61.232	56.1668	57.0582
CSNK1E	65.5917	79.8899	62.4202	68.7891	57.3523	71.8254	61.1487	61.2049
CSNK1G1	6.25953	5.18276	6.23817	5.95786	7.15812	6.02584	6.19462	4.75979
CSNK1G2	29.9775	38.9085	34.656	39.1756	29.8922	40.0143	33.9265	29.2085
CSNK1G2-AS1	0	0	0	0	0	0	0	0
CSNK1G3	10.0351	9.27247	9.26422	8.36995	10.6357	7.98366	9.0114	8.45729
CSNK2A1	75.1624	76.7304	68.1649	63.9985	63.664	68.6833	65.284	62.2551
CSNK2A2	17.3887	17.9243	16.9302	17.3486	16.9596	22.2477	17.9304	18.8636
CSNK2A3	1.04476	1.9671	1.39422	1.10702	0.703881	1.12916	1.12792	0.806543
CSNK2B	292.985	388.059	351.594	330.191	238.304	325.937	270.43	344.991
CSPG4	52.2139	55.8936	32.755	35.7018	39.0445	50.3867	36.1943	27.8651
CSPG4P1Y	0	0	0	0	0	0	0	0
CSPG5	0.88227	1.27065	1.16035	1.38457	0.858108	1.04342	1.33461	1.55515
CSPP1	4.60304	3.45693	3.06585	2.89987	3.60854	3.14248	3.99062	3.47979
CSRNP1	2.32727	3.06837	2.98533	3.26437	5.13129	4.11885	6.6114	5.76381
CSRNP2	7.77132	6.57953	9.37437	8.10938	8.42645	8.13689	8.69208	8.45226
CSRNP3	0.0866284	0.0596806	0.0593241	0.051023	0.248064	0.0961942	0.21058	0.128536
CSRP1	53.4855	78.6285	74.7641	83.1549	60.194	74.0265	70.1515	81.3973
CSRP2	9.87168	14.1685	14.887	13.4041	14.3812	14.9716	16.917	20.2089
CSRP2BP	12.9057	13.2784	11.1629	11.0661	10.2439	12.3253	12.0291	10.5308
CSRP3	0.0647878	0	0	0.0366915	0.0356084	0	0	0
CST1	13.0867	26.7709	22.8967	25.8973	9.01146	16.4872	11.8304	17.4591
CST11	0	0	0	0	0	0	0	0
CST13P	0	0	0	0	0	0	0	0
CST2	17.4273	30.4753	29.1403	38.7006	12.9283	21.8598	15.9938	21.6749
CST3	247.176	355.708	366.632	382.211	264.145	361.255	334.338	436.252
CST4	0	0	0	0	0	0	0	0
CST5	0	0.0734824	0.244385	0.17397	0	0	0	0.0918933
CST6	0	0.301319	0.222692	0.237791	0	0	0	0.251209
CST7	1.82443	3.49139	1.87478	4.13295	2.63218	3.00172	2.73494	3.8886
CST8	0	0	0	0	0	0	0	0
CST9	0	0	0	0	0	0	0	0
CST9L	0	0	0	0	0	0	0	0
CSTA	0.133614	0.255695	0	0.07567	0.367181	0.127903	0.0745286	0.159879
CSTB	278.762	366.83	288.302	315.745	264.283	352.946	285.647	422.013
CSTF1	38.7598	41.0868	34.7799	36.5713	31.4742	35.4821	34.9979	39.9284
CSTF2	34.2668	38.8955	31.0267	34.3988	32.891	35.4393	33.0555	36.2594
CSTF2T	8.75959	9.04299	9.57624	9.09196	10.0031	8.84942	9.53033	8.56795
CSTF3	29.9437	28.1823	35.1319	27.3066	35.7563	25.5073	38.5711	35.8659
CSTF3-AS1	0	0	0.0463734	0.0495176	0.024028	0.0836986	0.0243854	0
CSTL1	0	0	0	0	0	0	0	0
CT45A1	0	0	0	0	0	0	0	0
CT45A2	0	0	0	0	0	0	0	0
CT45A3	0	0	0	0	0	0	0	0
CT45A4	0	0	0	0	0	0	0	0
CT45A5	0	0	0	0	0	0	0	0
CT45A6	0	0	0	0	0	0	0	0
CT47A1	0	0	0	0	0	0	0	0
CT47A10	0	0	0	0	0	0	0	0
CT47A12	0	0	0	0	0	0	0	0
CT47A3	0	0	0	0	0	0	0	0
CT47A4	0	0	0	0	0	0	0	0
CT47A6	0	0	0	0	0	0	0	0
CT47A7	0	0	0	0	0	0	0	0
CT47A8	0	0	0	0	0	0	0	0
CT47A9	0	0	0	0	0	0	0	0
CT47B1	0.0363636	0	0	0	0	0	0.0405666	0
CT49	0	0	0	0	0	0	0.112674	0
CT60	0	0	0	0	0	0	0	0
CT62	0	0	0	0	0	0	0	0
CT64	0	0	0	0	0	0	0	0
CTAG1A	0	0	0	0	0	0	0	0
CTAG1B	0	0	0	0	0	0	0	0
CTAG2	0	0	0	0	0	0	0	0
CTAGE1	0	0.00937716	0	0	0	0	0	0
CTAGE10P	0	0	0	0	0	0	0	0
CTAGE11P	0	0	0	0	0	0.0319343	0	0
CTAGE15P	0	0	0	0	0	0	0	0
CTAGE4	0.0334017	0	0.0177154	0.0189165	0.0183581	0	0	0
CTAGE5	4.28404	3.67264	4.04289	3.35282	3.75429	3.15391	3.52737	3.83337
CTAGE6P	0	0	0	0	0	0	0	0
CTAGE7P	0	0	0	0	0	0	0	0
